id,titre,amplitude,rms,dB,Peak,Score,Danger%,env,cri,cri_type,moy_danger,centroid_mean,bandwidth_mean,flatness_mean,mfcc_mean,pcen_mean,zcr_mean
1,Baby Crying Sound Effect.wav,0.08214814437328762,0.08214814437328762,-21.70793911223388,0.873748779296875,8.214814437328762,11.90580921684146,3,True,enfant,10.51,5295.607251743426,3659.894157230674,0.12070532325802603,-40.0564420554932,0.13864029939365016,0.11990193590487239
2,Baby Crying Sound Effect.wav,0.08253497512201105,0.08253497512201105,-21.667134267427578,0.699615478515625,8.253497512201106,12.6484897904384,3,True,enfant,11.51,4594.989287543652,3624.636998267072,0.012236848401360816,-36.920284726103624,0.1452808257711567,0.13369163283062646
3,Baby Crying Sound Effect.wav,0.09599407995495329,0.09599407995495329,-20.355020506535936,0.7820587158203125,9.59940799549533,13.676826599964,3,True,enfant,11.51,4184.602732914545,3154.6080565198763,0.007044434778767002,-38.22722424817218,0.12617334582763406,0.13056935179814386
4,Baby Crying Sound Effect.wav,0.09648720685404859,0.09648720685404859,-20.310515289848436,0.988250732421875,9.648720685404859,11.21044209204344,3,True,enfant,11.51,4385.388004959251,3242.028621406896,0.011835326405963843,-40.34456496373885,0.1439672722714584,0.13056935179814386
5,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.01537166748101451,0.01537166748101451,-36.26501533475497,0.7745361328125,1.537166748101451,78.80606130737986,3,True,adulte,78.42,5361.012181918952,4139.5533214467405,0.02046516683679572,-34.71316436485558,0.08069488359613287,0.1863761600928074
6,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.011786956853739622,0.011786956853739622,-38.5712292484631,0.6329803466796875,1.1786956853739623,76.25935847523036,3,True,adulte,78.42,6296.257685597573,4268.319707688934,0.024425052686044408,-36.162601212293346,0.08321801175848696,0.24962727486948955
7,Incredible voice artist... Couldn_t tell the difference 🤣 #funny.wav,0.07316938701104558,0.07316938701104558,-22.713292958012733,0.5850830078125,7.316938701104558,15.03382399249443,3,True,adulte,17.77,3231.6525462873783,2338.084710101124,0.015127867722328794,-20.484321874236755,0.13707372348970223,0.11911796693735499
8,Incredible voice artist... Couldn_t tell the difference 🤣 #funny.wav,0.06912736073858611,0.06912736073858611,-23.206874830998053,0.8199615478515625,6.9127360738586106,20.89540594021732,3,True,adulte,17.77,2695.248800583149,2354.2366173241426,0.0006168712144825898,-22.655865441802213,0.15869292019960712,0.08989246483468677
9,bebe.wav,0.05299259899191534,0.05299259899191534,-25.515531698691433,0.4525146484375,5.299259899191535,10.0082349309626,3,True,adulte,12.9,2716.326624707121,3285.543046689952,0.042989987552525845,-31.807222139563503,0.1268289281644974,0.055676524434454755
10,bebe.wav,0.06999569707214907,0.06999569707214907,-23.098449050338495,0.4923095703125,6.999569707214907,11.314089181034454,3,True,adulte,10.9,2577.253260768032,2974.2304136601624,0.00550867446516676,-33.95408813358952,0.12797257857418526,0.05930747897331787
11,cat.wav,0.09849534005465868,0.09849534005465868,-20.131598135955745,0.50396728515625,9.849534005465868,7.92100887735791,3,True,adulte,7.92,1506.1698315121266,2786.8168024473302,0.032749692047745124,-4.940055219192245,0.12918850515524602,0.026505401682134572
12,cri_norm.wav,0.21900172556563605,0.21900172556563605,-13.191009603585762,1.0,21.900172556563604,71.30622098538217,3,True,,76.33,2193.599705780619,2428.536767280928,0.011635188309236164,0.7891538210489504,0.21826762728606752,0.05499678255510441
13,cri_norm.wav,0.23047204440961486,0.23047204440961486,-12.747597227501942,1.0,23.047204440961487,72.95602517177991,3,True,adulte,76.33,2292.748215073821,2311.9427826005917,0.0018577404282099864,-0.5824109370756864,0.21924476850074034,0.07018221613979118
14,cri_norm.wav,0.26966382099773833,0.26966382099773833,-11.383514110843036,1.0,26.966382099773835,76.00274618638929,3,True,adulte,76.33,2406.8315357688034,2379.0677831952635,6.336507411844878e-05,-0.053873909420943805,0.2195434705830956,0.07051868837006961
15,cri_norm.wav,0.25399455380627617,0.25399455380627617,-11.90347771282174,1.0,25.399455380627618,75.81617971402659,3,True,adulte,76.33,2169.0717134877877,2230.2820432617696,0.0043041206906018915,-0.7530838821459519,0.17097145393260194,0.059384516386310905
16,cri_norm.wav,0.24332523700185663,0.24332523700185663,-12.27622120233002,1.0,24.332523700185664,77.36876349154979,3,True,,76.33,2292.321578439925,2502.880743412522,5.9600159071811955e-05,1.604906287922233,0.2054540944616633,0.06100230205916473
17,cri_norm.wav,0.10607753081077657,0.10607753081077657,-19.48745007765315,0.8280029296875,10.607753081077657,69.99973076997136,3,True,adulte,76.33,2326.1919948123245,2500.1588338413167,0.0329412298565745,-5.0315708020712675,0.15050218526554693,0.060767791110788866
18,enregistrement.wav,0.023280916102089756,0.023280916102089756,-32.65962560216092,0.2938232421875,2.3280916102089755,65.03044105631059,3,True,adulte,59.03,2968.9443799876835,3474.3370513734744,0.012892819528587323,-24.76175696804337,0.10027867487005131,0.06254871483468677
19,nothink.wav,0.0007114054785828716,0.0007114054785828716,-62.94545498717529,0.0064697265625,0.07114054785828716,2.36738543124018,3,True,adulte,2.37,7529.969312488439,6675.164707150563,0.20203270791941919,-16.261193280481056,0.1165938562046542,0.14312984882540603
20,recorded_5s.wav,0.014641065956447239,0.014641065956447239,-36.68795282322564,0.35162353515625,1.464106595644724,70.24190421503714,3,True,adulte,70.24,3158.182726530099,3556.2737690139284,0.007197177099332306,-27.53792028969036,0.050031852041775,0.07875942575406032
