id,titre,amplitude,rms,dB,Peak,StdDev,Score,Danger%,env,moy_danger
1,Baby Crying Sound Effect.wav,0.0821481443732876,0.0821481443732876,-21.70793911223388,0.873748779296875,0.0821481434931313,8.214814437328762,10,2,32.5
2,Baby Crying Sound Effect.wav,0.082534975122011,0.082534975122011,-21.667134267427578,0.699615478515625,0.0825349739474965,8.253497512201106,10,2,32.5
3,Baby Crying Sound Effect.wav,0.0959940799549532,0.0959940799549532,-20.355020506535936,0.7820587158203125,0.0959940790676945,9.59940799549533,10,2,32.5
4,Baby Crying Sound Effect.wav,0.0964872068540485,0.0964872068540485,-20.31051528984844,0.988250732421875,0.0964872058701242,9.64872068540486,100,2,32.5
5,bebe.wav,0.0529925989919153,0.0529925989919153,-25.515531698691436,0.4525146484375,0.0529925974630048,5.299259899191535,10,1,10.0
6,bebe.wav,0.069995697072149,0.069995697072149,-23.09844905033849,0.4923095703125,0.069995695452446,6.999569707214907,10,1,10.0
7,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.0153716674810145,0.0153716674810145,-36.26501533475497,0.7745361328125,0.0153716674748733,1.537166748101451,10,3,10.0
8,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.0117869568537396,0.0117869568537396,-38.5712292484631,0.6329803466796875,0.0117869564258409,1.1786956853739623,10,3,10.0
9,cat.wav,0.0984953400546586,0.0984953400546586,-20.131598135955745,0.50396728515625,0.0984953353080222,9.849534005465868,10,1,10.0
10,cri_norm.wav,0.219001725565636,0.219001725565636,-13.191009603585762,1.0,0.2190016965984763,21.900172556563604,100,1,85.0
11,cri_norm.wav,0.2304720444096148,0.2304720444096148,-12.747597227501942,1.0,0.2304720415963591,23.047204440961487,100,2,85.0
12,cri_norm.wav,0.2696638209977383,0.2696638209977383,-11.383514110843036,1.0,0.2696638174069123,26.966382099773835,100,2,85.0
13,cri_norm.wav,0.2539945538062761,0.2539945538062761,-11.90347771282174,1.0,0.2539945348084632,25.399455380627614,100,1,85.0
14,cri_norm.wav,0.2433252370018566,0.2433252370018566,-12.27622120233002,1.0,0.243325206400339,24.332523700185664,100,2,85.0
15,cri_norm.wav,0.1060775308107765,0.1060775308107765,-19.48745007765315,0.8280029296875,0.1060775258051729,10.607753081077655,10,1,85.0
16,Incredible voice artist... Couldn_t tell the difference 🤣 #funny.wav,0.0731693870110455,0.0731693870110455,-22.713292958012733,0.5850830078125,0.0731693865419176,7.316938701104558,10,1,10.0
17,Incredible voice artist... Couldn_t tell the difference 🤣 #funny.wav,0.0691273607385861,0.0691273607385861,-23.206874830998053,0.8199615478515625,0.0691273606028728,6.9127360738586106,10,1,10.0
18,screaming in the mic... #asmr #shorts.wav,0.016871337160451,0.016871337160451,-35.45649509322777,0.34893798828125,0.0168713282709981,1.6871337160451043,10,1,10.0
19,screaming in the mic... #asmr #shorts.wav,0.0179147140566417,0.0179147140566417,-34.93531755439031,0.242462158203125,0.0179147081589472,1.7914714056641723,10,2,10.0
20,screaming in the mic... #asmr #shorts.wav,0.0096963655623247,0.0096963655623247,-40.26692464898499,0.2294464111328125,0.0096963109455662,0.9696365562324752,10,2,10.0
21,screaming in the mic... #asmr #shorts.wav,0.0161132489143924,0.0161132489143924,-35.855798643165215,0.4063262939453125,0.0161132226358003,1.611324891439247,10,2,10.0
22,screaming in the mic... #asmr #shorts.wav,0.0092414630627356,0.0092414630627356,-40.68424552796085,0.255950927734375,0.009241235529797,0.9241463062735604,10,2,10.0
23,screaming in the mic... #asmr #shorts.wav,0.0086835802328258,0.0086835802328258,-41.22502336465572,0.229766845703125,0.0086835798231595,0.8683580232825857,10,2,10.0
24,screaming in the mic... #asmr #shorts.wav,0.0105235962081935,0.0105235962081935,-39.55589115054404,0.317291259765625,0.0105235810445476,1.052359620819353,10,2,10.0
25,screaming in the mic... #asmr #shorts.wav,0.0097679620742444,0.0097679620742444,-40.20303152884611,0.1863250732421875,0.0097679141975078,0.97679620742444,10,1,10.0
26,sing.wav,0.1159384568618107,0.1159384568618107,-18.71537476974328,0.694488525390625,0.1159384524520138,11.59384568618107,10,1,10.0
27,sing.wav,0.1097049650133971,0.1097049650133971,-19.195395160087667,0.70660400390625,0.1097049503487258,10.970496501339715,10,1,10.0
28,sing.wav,0.172917774607393,0.172917774607393,-15.243157015292931,0.710296630859375,0.1729177459536383,17.291777460739308,10,1,10.0
29,sing.wav,0.1437960064456709,0.1437960064456709,-16.84500309932125,0.710479736328125,0.1437960060999931,14.379600644567098,10,1,10.0
30,sing2.wav,0.0544397272659271,0.0544397272659271,-25.28152163503559,0.1932373046875,0.0544392376095399,5.44397272659271,10,1,10.0
31,sing2.wav,0.0621994433109073,0.0621994433109073,-24.12413040046184,0.207061767578125,0.062198797028294,6.219944331090738,10,1,10.0
32,test.wav,0.3444332741030766,0.3444332741030766,-9.257872782392056,1.0,0.3444284385967853,34.44332741030766,100,1,100.0
33,test.wav,0.3494157765613859,0.3494157765613859,-9.133124941090283,1.0,0.3494009500087778,34.94157765613859,100,1,100.0
34,كم مره عدت الفديو يله فهمت 😮😮😂🤍✨ #ترند #العراق #ضحك #اكسبلور #shorts #shortsvideo-.wav,0.0446135660141663,0.0446135660141663,-27.01046654468128,0.7803955078125,0.0446135134309075,4.461356601416633,10,1,10.0
35,كم مره عدت الفديو يله فهمت 😮😮😂🤍✨ #ترند #العراق #ضحك #اكسبلور #shorts #shortsvideo-.wav,0.062091869824944,0.062091869824944,-24.139165347021475,0.601348876953125,0.0620918641043273,6.209186982494404,10,1,10.0
36,synthetic_1.wav,,0.137061,82.7383,0.800367,0.14232,59.9528,60,2,60.83
37,synthetic_1.wav,,0.163451,84.2678,0.833359,0.16892,62.0863,62,3,60.83
38,synthetic_1.wav,,0.1608,84.1258,0.844598,0.153565,62.0595,62,3,60.83
39,synthetic_1.wav,,0.160176,84.092,0.994974,0.135975,66.2055,66,3,60.83
40,synthetic_1.wav,,0.118291,81.4591,0.757026,0.097282,57.2401,57,2,60.83
41,synthetic_1.wav,,0.098529,79.8713,0.80798,0.096268,58.1133,58,2,60.83
42,synthetic_2.wav,,0.119773,81.5672,0.74187,0.126695,57.4169,57,2,60.8
43,synthetic_2.wav,,0.148748,83.4491,0.84427,0.156746,61.8427,62,3,60.8
44,synthetic_2.wav,,0.118597,81.4816,0.753841,0.103112,57.2701,57,2,60.8
